#Time (BKJD),Normalized PDCSAP_FLUX
170.439947786545,0.99319107631424
170.460381712277,0.99433196612547
170.480815538009,0.9935690919547
170.501249563269,0.99368837432906
170.521683488303,0.99305976485986
170.542117313104,0.99300948762719
170.562551337665,0.99263449726434
170.582985262001,0.99177920806561
170.603419186104,0.99381896547924
170.623853009965,0.99288681982313
170.664720957007,0.99296043491165
170.726022725816,0.99232030057537
170.746456548048,0.99126224574632
170.766890570289,0.99222882194286
170.787324492296,0.9927590378593
170.807758314062,0.99279426073434
170.828192235371,0.99265985197193
170.84862625668,0.99356037627397
170.869060077748,0.99373396958447
170.909928018969,0.99376796794238
170.930361939107,0.99391109238552
170.95079575925,0.99397080560312
170.971229678929,0.99478489340201
170.991663698602,0.99423436490733
171.032531436795,0.99494458484159
171.052965455769,0.99416809692157
171.093833192564,0.99417724478482
171.114267110606,0.9934854646379
171.134701028423,0.99262124366719
171.155134946006,0.99456181519345
171.175568863582,0.99363233466285
171.1960027807,0.99460049552861
171.257304430415,0.99541847297014
171.277738446603,0.99537158116717
171.298172362549,0.99504002514715
171.318606178269,0.99545182305427
171.379908023795,0.99506091396875
171.420775853134,0.99471574419948
171.441209767225,0.99543316717567
171.461643581315,0.99485051311399
171.482077594934,0.99552795920747
171.502511508559,0.99587615425434
171.543379234878,0.99570032800084
171.563813247565,0.99622146808445
171.584247060026,0.99685519171342
171.604680972479,0.99729349681484
171.625114984476,0.9972970983358
171.645548796238,0.99743359598037
171.665982707767,0.99756814880361
171.686416619057,0.99802208450602
171.706850630122,0.99779547680691
171.727284440945,0.99775427540707
171.76815236191,0.99842091693766
171.788586172042,0.99805384992093
171.809020081935,0.99839693080804
171.829453891602,0.99808820843093
171.849887901029,0.99810441527527
171.870321810231,0.99832309962826
171.890755718967,0.99866654066746
171.911189627703,0.99911565033177
171.931623536198,0.99769557061535
171.952057444236,0.99875355341397
171.972491252272,0.99902453185136
171.992925259838,0.99883307499687
172.033792974515,1.00000112027618
172.054226981614,0.9992624483263
172.074660888255,0.99927325288919
172.095094694654,1.00085460871442
172.115528601062,0.99967302171629
172.135962607004,0.99954459147868
172.156396512706,1.00026237460697
172.197264323426,1.00054026796462
172.217698228429,1.00044821308875
172.258565937751,1.00183162932176
172.319867649981,1.00398382621991
172.381169359884,1.00158146767554
172.401603262799,1.0017511713434
172.462904969667,1.00354861842652
172.503772773169,1.00372898259644
172.524206674687,1.00392224021141
172.565074476552,1.00389832611221
172.585508377364,1.00458175073049
172.605942177717,1.00435658363977
172.626376177839,1.00416620724157
172.667243977376,1.00422908979761
172.708111775981,1.00448371732983
172.728545674938,1.00342278128401
172.748979473661,1.00427526129638
172.769413472153,1.00422541624623
172.789847370172,1.00464131988725
172.810281168197,1.00620157079962
172.830715065989,1.00614264991664
172.892016757731,1.00662244453957
172.912450754353,1.00621071866287
172.932884550981,1.00669296232006
173.035054029686,1.00689299079445
173.055488024685,1.00712889041764
173.075921819451,1.00778249444234
173.096355713977,1.00886323885346
173.116789608277,1.00793930466515
173.137223502345,1.00856596931302
173.178091289774,1.00859096386852
173.198525183143,1.00842370923491
173.218959076272,1.00973084525388
173.239392968942,1.00900355411025
173.259826761612,1.00961300348791
173.300694646015,1.0092086967444
173.321128437987,1.00933165267014
173.341562429487,1.00956092549476
173.36199632076,1.00955609945667
173.382430112033,1.01015438411934
173.402864002834,1.01034368006125
173.464165674086,1.01091941920269
173.484599663963,1.01056337284011
173.505033553607,1.0116040683381
173.545901232188,1.01159427220108
173.566335221134,1.01108768226217
173.607202898085,1.01144091943839
173.648070674339,1.01239373782484
173.668504561887,1.012320410858
173.688938449435,1.01166457389031
173.729806223593,1.01232177943597
173.75024011021,1.01217166804215
173.770674096588,1.01207882083168
173.791107882971,1.01323591748726
173.81154176889,1.01169115311503
173.831975554567,1.01314710398026
173.852409540021,1.01345431371856
173.872843425241,1.01256949204793
173.89327721022,1.01303999474677
173.913711194975,1.01349652354427
173.934145079496,1.01334288265991
173.954578963778,1.01294052073772
173.975012747833,1.01337054234092
173.995446731657,1.01275360179965
174.036314398363,1.01448701384001
174.056748381488,1.01431370865119
174.118049928991,1.01377484908443
174.138483910945,1.01360593775118
174.158917692905,1.01381547424091
174.179351574399,1.01397747065391
174.199785555655,1.01413089544701
174.220219436684,1.01472060848979
174.240653217479,1.01372831743357
174.261087098035,1.01490846382332
174.281521078366,1.01408515613076
174.322388738321,1.01447620927712
174.342822717954,1.01358000680023
174.363256497119,1.01483556903899
174.404124255212,1.01440345855363
174.42455813368,1.01357294781914
174.444992012141,1.01379321684135
174.465425890143,1.01350062927817
174.485859768145,1.01426033411049
174.506293745675,1.01376195563938
174.526727522978,1.01460989773533
174.56759527688,1.01404842061692
174.588029153718,1.01332617160263
174.60846303009,1.0142062392656
174.628896906223,1.01330240156427
174.649330781896,1.01374654112965
174.66976465757,1.01343299271445
174.690198533004,1.01416568613953
174.710632408212,1.01529116144104
174.731066282955,1.0144988988592
174.75150015769,1.01416525395702
174.7719340322,1.014582526176
174.792367906244,1.01271045557849
174.812801780048,1.01367364634532
174.833235553859,1.01183074806763
